date, pm25, pm10, o3, no2, so2, co
2023/9/30, 87, 27, 47, 8, 2, 5
2023/4/1, 110, 52, 57, 24, 4, 4
2023/4/2, 108, 43, 55, 9, 4, 5
2023/4/3, 79, 24, 36, 10, 4, 5
2023/4/4, 61, 33, 32, 8, 3, 8
2023/4/5, 96, 43, 29, 14, 3, 9
2023/4/6, 120, 60, 46, 15, 4, 10
2023/4/7, 154, 47, 50, 16, 4, 7
2023/4/8, 107, 37, 73, 14, 4, 4
2023/4/9, 83, 37, 81, 14, 4, 5
2023/4/10, 76, 148, 47, 14, 4, 6
2023/4/11, 106, 258, 35, 12, 4, 5
2023/4/12, 165, 157, 38, 14, 4, 6
2023/4/13, 151, 73, 34, 19, 4, 8
2023/4/14, 131, 49, 51, 12, 4, 6
2023/4/15, 110, 66, 75, 11, 4, 5
2023/4/16, 113, 53, 66, 11, 4, 6
2023/4/17, 95, 65, 75, 17, 4, 7
2023/4/18, 103, 21, 36, 9, 3, 5
2023/4/19, 60, 30, 38, 12, 4, 4
2023/4/20, 62, 49, 42, 10, 4, 4
2023/4/21, 71, 85, 42, 11, 4, 6
2023/4/22, 98, 85, 35, 8, 4, 4
2023/4/23, 102, 39, 37, 8, 4, 3
2023/4/24, 57, 44, 32, 12, 5, 6
2023/4/25, 78, 59, 68, 12, 4, 6
2023/4/26, 139, 54, 78, 11, 4, 5
2023/4/27, 124, 50, 61, 12, 4, 6
2023/4/28, 111, 63, 26, 13, 4, 6
2023/4/29, 129, 77, 68, 16, 4, 4
2023/4/30, 104, 67, 88, 14, 5, 4
2023/5/1, 105, 49, 59, 7, 4, 4
2023/5/2, 61, 41, 40, 9, 4, 4
2023/5/3, 66, 31, 45, 9, 4, 5
2023/5/4, 66, 28, 38, 12, 4, 6
2023/5/5, 70, 36, 37, 12, 4, 6
2023/5/6, 92, 24, 30, 7, 4, 4
2023/5/7, 59, 31, 46, 10, 4, 4
2023/5/8, 71, 40, 66, 17, 4, 4
2023/5/9, 83, 36, 56, 18, 4, 4
2023/5/10, 74, 49, 35, 27, 5, 5
2023/5/11, 94, 71, 98, 24, 5, 6
2023/5/12, 160, 64, 115, 16, 5, 6
2023/5/13, 153, 64, 95, 19, 5, 7
2023/5/14, 139, 63, 102, 20, 5, 6
2023/5/15, 125, 45, 76, 11, 4, 5
2023/5/16, 73, 26, 39, 8, 4, 5
2023/5/17, 47, 24, 36, 9, 4, 5
2023/5/18, 70, 19, 42, 10, , 4
2023/5/19, 56, 28, 61, 10, 4, 4
